rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
2,250,10,5,4,1000,0.00021637500321958214,0.5196957500011194,0.4476352079946082,3564353,1895104,88080,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,5,1,1000,0.00021216700406512246,0.5183022920027724,0.44625320799968904,3564237,1894848,88080,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,20,1,1000,0.0007858329990995117,0.5221714170038467,0.448993750003865,3565475,1895707,88080,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,250,30,5,4,1000,0.0005889160020160489,1.362642499996582,1.1757450829973095,9082744,4656368,248240,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,250,60,5,4,1000,0.0011676659996737726,2.620397666003555,2.275796583002375,17422200,8928085,488480,4.551914400963142e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,500,3,5,4,2000,0.00013545800175052136,0.44873850000294624,0.19083333299931837,3153415,851151,64024,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,500,10,5,4,2000,0.00042100000428035855,1.0403327499952866,0.44508829199912725,7117758,1895121,176080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,500,30,5,4,2000,0.0011774159938795492,2.722081749998324,1.1847756669958471,18149041,4655947,496240,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,500,60,5,4,2000,0.002296874998137355,5.266313583000738,2.282390624997788,34831327,8929004,976480,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,3,5,4,4000,0.000255000006291084,0.9020568749983795,0.19253345800098032,6305345,851439,128024,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
