rep,cell,variant,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,typed_contract_enforced,proof_verification_mandatory,ablated_component,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256
1,scale_large,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.002897833001043182,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_large,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,0.9965923613969543,0.8948786448368906,1.098306077957018,0.01801300000079209,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_large,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,0.9932925077733524,0.7732925077733525,1.2132925077733525,1.237499964190647e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_large,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9965923613969543,0.8948786448368906,1.098306077957018,0.0179510840025614,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_large,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9965923613969543,0.8948786448368906,1.098306077957018,0.01802904200303601,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
2,unsupported_corrupted,full_crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0027664999943226576,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
2,unsupported_corrupted,no_support_certifier,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.002731958004005719,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
2,unsupported_corrupted,no_target_null_check,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,target_null_check,1.0,,,,0.002737540999078192,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
2,unsupported_corrupted,force_point,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,False,False,,1.0,-0.03155994849257257,-0.25155994849257257,0.18844005150742743,1.1709002137649804e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
2,unsupported_corrupted,no_mark_sharing,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0027369169984012842,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
